subid,valence_16_Pos_SPP,valence_13_Pos_SPP,valence_10_Pos_SPP,valence_18_Pos_SPP,arousal_16_Pos_SPP,arousal_10_Pos_SPP,arousal_13_Pos_SPP,arousal_18_Pos_SPP,fair_18_Pos_SPP,fair_10_Pos_SPP,fair_16_Pos_SPP,fair_13_Pos_SPP,anger_10_Pos_SPP,anger_18_Pos_SPP,anger_13_Pos_SPP,anger_16_Pos_SPP,valence_10_Neg_SPP,valence_13_Neg_SPP,valence_16_Neg_SPP,valence_18_Neg_SPP,arousal_10_Neg_SPP,arousal_13_Neg_SPP,arousal_18_Neg_SPP,arousal_16_Neg_SPP,fair_10_Neg_SPP,fair_18_Neg_SPP,fair_16_Neg_SPP,fair_13_Neg_SPP,anger_10_Neg_SPP,anger_18_Neg_SPP,anger_13_Neg_SPP,anger_16_Neg_SPP,valence_18_Pos_TPP,valence_10_Pos_TPP,valence_16_Pos_TPP,valence_13_Pos_TPP,arousal_13_Pos_TPP,arousal_10_Pos_TPP,arousal_18_Pos_TPP,arousal_16_Pos_TPP,fair_10_Pos_TPP,fair_16_Pos_TPP,fair_18_Pos_TPP,fair_13_Pos_TPP,anger_10_Pos_TPP,anger_18_Pos_TPP,anger_13_Pos_TPP,anger_16_Pos_TPP,valence_10_Neg_TPP,valence_13_Neg_TPP,valence_16_Neg_TPP,valence_18_Neg_TPP,arousal_10_Neg_TPP,arousal_18_Neg_TPP,arousal_13_Neg_TPP,arousal_16_Neg_TPP,fair_18_Neg_TPP,fair_16_Neg_TPP,fair_10_Neg_TPP,fair_13_Neg_TPP,anger_10_Neg_TPP,anger_18_Neg_TPP,anger_13_Neg_TPP,anger_16_Neg_TPP
101,5,4,6,3,7,7,4,4,4,5,5,4,3,8,6,6,4,3,2,7,7,6,4,5,5,4,5,3,2,4,7,3,4,4,5,5,5,6,4,6,5,6,5,5,5,8,8,8,8,8,7,8,6,9,7,7,7,7,7,7,7,7,7,7
102,3,4,9,1,5,9,3,3,1,9,2,5,1,8,3,5,2,3,1,3,8,3,4,3,9,2,2,2,1,7,8,8,6,9,3,5,6,9,1,3,9,3,1,5,1,8,3,6,8,5,3,1,8,1,3,3,1,1,5,1,1,2,2,2
103,2,3,9,1,2,9,4,1,2,9,2,3,1,8,8,7,1,6,8,6,5,8,6,7,4,7,8,9,1,3,8,3,1,9,1,2,4,9,1,2,9,4,1,4,1,9,6,8,1,8,8,9,3,7,8,8,6,7,5,9,7,2,1,2
104,3,3,4,3,4,4,3,2,3,6,3,5,1,5,4,4,4,4,4,3,4,3,3,5,1,4,3,3,1,2,4,4,2,2,9,2,6,6,6,6,5,5,5,5,2,1,2,2,2,2,2,2,7,7,7,7,2,3,3,2,2,2,2,2
105,3,3,7,1,4,8,4,2,1,9,2,3,1,7,3,4,7,3,2,1,9,6,2,3,6,7,3,2,1,6,6,5,3,9,5,6,6,6,3,6,9,2,1,2,1,5,5,5,7,6,5,4,7,4,4,4,2,4,1,3,2,5,4,5
106,3,4,9,3,7,9,7,7,1,9,1,1,1,5,2,2,8,3,5,3,8,8,8,9,9,1,2,1,1,2,2,2,2,9,2,2,7,9,7,7,9,1,1,1,1,4,4,4,3,2,2,2,9,8,8,8,1,1,9,1,1,2,2,2
107,7,4,9,1,1,9,4,1,1,9,1,5,1,9,4,7,9,3,1,1,9,4,1,3,5,1,5,8,1,5,5,5,5,5,3,8,5,9,4,7,4,1,1,1,1,9,9,9,4,1,1,1,9,1,5,5,1,1,9,1,5,5,6,4
108,3,3,1,1,1,7,2,2,1,8,1,2,2,5,2,9,2,2,2,9,5,2,1,2,2,4,2,8,2,2,2,7,1,7,2,3,1,2,1,4,8,2,3,2,3,2,9,8,9,9,9,9,6,9,8,9,1,3,8,3,6,3,2,3
109,6,7,8,5,8,8,7,4,5,8,3,8,2,6,7,4,7,8,7,8,8,8,7,8,8,7,8,8,4,3,4,3,4,7,7,5,7,7,4,8,9,7,7,8,4,4,3,4,8,7,8,6,8,7,7,7,7,8,8,7,3,2,3,3
110,2,3,9,2,4,9,3,2,2,9,2,2,1,8,7,7,7,3,5,5,2,6,4,6,8,4,3,4,1,4,5,5,2,9,3,3,4,9,3,4,9,2,1,2,1,7,6,7,6,6,7,8,7,7,6,6,6,5,6,6,3,5,4,4
