"subid","trial","offer_other","offer_self","RT","dec","emotion","party"
"128","1","4","16","0.777","0","3","2"
"128","2","7","13","1.019","0","3","2"
"128","3","10","10","1.361","0","1","2"
"128","4","2","18","0.766","3","2","2"
"128","5","7","13","0.533","0","3","2"
"128","6","10","10","0.614","0","1","2"
"128","7","2","18","1.362","2","3","2"
"128","8","7","13","0.559","1","2","2"
"128","9","2","18","0.705","0","3","2"
"128","10","4","16","0.504","0","3","2"
"128","11","2","18","0.665","2","3","2"
"128","12","7","13","0.896","0","3","2"
"128","13","2","18","0.548","3","2","2"
"128","14","10","10","0.404","0","1","2"
"128","15","4","16","0.784","0","3","2"
"128","16","10","10","0.545","0","1","2"
"128","17","2","18","0.513","2","3","2"
"128","18","4","16","0.441","1","2","2"
"128","19","4","16","0.730","0","2","2"
"128","20","7","13","1.096","0","2","2"
"128","21","2","18","0.667","2","2","2"
"128","22","10","10","0.464","0","1","2"
"128","23","7","13","0.537","2","2","2"
"128","24","2","18","0.378","3","2","2"
"128","25","7","13","0.639","2","2","2"
"128","26","10","10","0.630","0","1","2"
"128","27","10","10","0.597","0","1","2"
"128","28","4","16","0.456","3","2","2"
"128","29","7","13","0.825","0","2","2"
"128","30","10","10","0.369","0","1","2"
"128","31","4","16","0.583","1","2","2"
"128","32","2","18","0.895","2","3","2"
"128","33","2","18","0.541","2","2","2"
"128","34","4","16","0.496","0","3","2"
"128","35","4","16","0.600","1","2","2"
"128","36","4","16","0.458","1","3","2"
"128","37","7","13","0.989","0","3","2"
"128","38","10","10","0.332","0","1","2"
"128","39","7","13","0.634","0","3","2"
"128","40","10","10","0.538","0","1","2"
"128","1","10","10","0.823","0","1","3"
"128","2","7","13","1.159","0","3","3"
"128","3","4","16","0.721","0","3","3"
"128","4","2","18","0.520","2","2","3"
"128","5","2","18","0.425","1","3","3"
"128","6","10","10","0.537","0","1","3"
"128","7","7","13","0.568","0","2","3"
"128","8","4","16","0.312","1","2","3"
"128","9","4","16","0.586","2","2","3"
"128","10","10","10","0.546","0","1","3"
"128","11","2","18","0.571","2","3","3"
"128","12","4","16","0.482","1","3","3"
"128","13","2","18","0.511","1","3","3"
"128","14","7","13","0.418","0","3","3"
"128","15","2","18","0.763","1","2","3"
"128","16","10","10","0.351","0","1","3"
"128","17","7","13","0.453","0","2","3"
"128","18","4","16","0.541","1","2","3"
"128","19","2","18","1.140","2","2","3"
"128","20","2","18","0.503","0","3","3"
"128","21","10","10","0.644","0","1","3"
"128","22","4","16","1.079","0","3","3"
"128","23","10","10","0.455","0","1","3"
"128","24","10","10","0.444","0","1","3"
"128","25","7","13","0.892","0","2","3"
"128","26","4","16","1.401","3","2","3"
"128","27","7","13","0.832","0","3","3"
"128","28","2","18","0.566","1","3","3"
"128","29","7","13","0.611","0","2","3"
"128","30","7","13","0.542","0","2","3"
"128","31","4","16","1.370","1","2","3"
"128","32","10","10","0.608","0","1","3"
"128","33","2","18","0.626","2","2","3"
"128","34","2","18","0.577","2","2","3"
"128","35","7","13","1.372","0","3","3"
"128","36","10","10","0.408","0","1","3"
"128","37","4","16","0.322","0","3","3"
"128","38","4","16","0.591","0","3","3"
